,Wavelength,b,Jerlov,Averaged1,Averaged2,StdDev1,StdDev2,Avg1,Avg2,Tot_Wavs,Tot_Depths
0,412,0.1175,b_IA,1,1,,,,,,
1,440,0.10569999999999999,b_IA,1,1,,,,,,
2,488,0.1109,b_IA,1,1,,,,,,
3,510,0.09550000000000003,b_IA,1,1,,,,,,
4,555,0.08819999999999997,b_IA,1,1,,,,,,
5,630,0.07090000000000007,b_IA,1,1,,,,,,
6,650,0.07450000000000001,b_IA,1,1,,,,,,
7,676,0.07400000000000012,b_IA,1,1,,,,,,
8,412,0.14115,c_IB,6,6,0.0472416747515722,0.0472416747515722,0.14115,0.14115,7,65.0
9,440,0.134925,c_IB,6,6,0.03888184827139781,0.03888184827139781,0.134925,0.134925,7,65.0
10,488,0.13710833333333336,c_IB,6,6,0.04018619597849768,0.04018619597849768,0.13710833333333336,0.13710833333333336,7,65.0
11,510,0.1266,c_IB,6,6,0.03518493996015911,0.03518493996015911,0.1266,0.1266,7,65.0
12,532,0.086725,c_IB,2,2,0.021924999999999993,0.021924999999999993,0.086725,0.086725,3,25.0
13,555,0.11954166666666666,c_IB,6,6,0.0390931410934905,0.0390931410934905,0.11954166666666666,0.11954166666666666,7,65.0
14,630,0.11130000000000001,c_IB,2,2,0.015199999999999991,0.015199999999999991,0.11130000000000001,0.11130000000000001,2,20.0
15,650,0.11830000000000003,c_IB,4,4,0.023288516483451656,0.023288516483451656,0.11830000000000003,0.11830000000000003,4,40.0
16,676,0.09854999999999994,c_IB,4,4,0.023083489770829677,0.023083489770829677,0.09854999999999994,0.09854999999999994,4,40.0
17,412,0.20484277140343313,d_II,35,34,0.0795554744920347,0.05597382537558453,0.21467297793476361,0.20484277140343313,61,649.0
18,440,0.19512938712522046,d_II,37,36,0.07529968184771145,0.053876093157728074,0.20402048477048476,0.19512938712522046,64,679.0
19,488,0.19696616562009422,d_II,36,35,0.07812748674521293,0.051995963567454256,0.20693099435286938,0.19696616562009422,63,636.0
20,510,0.1872524004544838,d_II,37,36,0.08113787434997143,0.05369414510701318,0.19749693017193018,0.1872524004544838,64,678.0
