Wavelength,a_I,b_IA,c_IB,d_II,e_III,f_1C,g_3C,h_5C,i_7C,j_9C
300,0.1720,0.2055,0.2500,0.4188,0.7325,1.9500,2.5750,3.8000,,
301,0.1698,0.2030,0.2470,0.4139,0.7243,1.9350,2.5575,3.7700,,
302,0.1676,0.2004,0.2440,0.4090,0.7160,1.9200,2.5400,3.7400,,
303,0.1654,0.1979,0.2410,0.4041,0.7078,1.9050,2.5225,3.7100,,
304,0.1632,0.1953,0.2380,0.3993,0.6995,1.8900,2.5050,3.6800,,
305,0.1610,0.1928,0.2350,0.3944,0.6913,1.8750,2.4875,3.6500,,
306,0.1588,0.1902,0.2320,0.3895,0.6830,1.8600,2.4700,3.6200,,
307,0.1566,0.1877,0.2290,0.3846,0.6748,1.8450,2.4525,3.5900,,
308,0.1544,0.1851,0.2260,0.3798,0.6665,1.8300,2.4350,3.5600,,
309,0.1522,0.1826,0.2230,0.3749,0.6583,1.8150,2.4175,3.5300,,
310,0.1500,0.1800,0.2200,0.3700,0.6500,1.8000,2.4000,3.5000,,
311,0.1478,0.1775,0.2170,0.3651,0.6418,1.7850,2.3825,3.4700,,
312,0.1456,0.1749,0.2140,0.3603,0.6335,1.7700,2.3650,3.4400,,
313,0.1434,0.1724,0.2110,0.3554,0.6253,1.7550,2.3475,3.4100,,
314,0.1412,0.1698,0.2080,0.3505,0.6170,1.7400,2.3300,3.3800,,
315,0.1390,0.1673,0.2050,0.3456,0.6088,1.7250,2.3125,3.3500,,
316,0.1368,0.1647,0.2020,0.3408,0.6005,1.7100,2.2950,3.3200,,
317,0.1346,0.1622,0.1990,0.3359,0.5923,1.6950,2.2775,3.2900,,
318,0.1324,0.1596,0.1960,0.3310,0.5840,1.6800,2.2600,3.2600,,
319,0.1302,0.1571,0.1930,0.3261,0.5758,1.6650,2.2425,3.2300,,
320,0.1280,0.1545,0.1900,0.3213,0.5675,1.6500,2.2250,3.2000,,
321,0.1258,0.1520,0.1870,0.3164,0.5593,1.6350,2.2075,3.1700,,
322,0.1236,0.1494,0.1840,0.3115,0.5510,1.6200,2.1900,3.1400,,
323,0.1214,0.1469,0.1810,0.3066,0.5428,1.6050,2.1725,3.1100,,
324,0.1192,0.1443,0.1780,0.3018,0.5345,1.5900,2.1550,3.0800,,
325,0.1170,0.1418,0.1750,0.2969,0.5263,1.5750,2.1375,3.0500,,
326,0.1148,0.1392,0.1720,0.2920,0.5180,1.5600,2.1200,3.0200,,
327,0.1126,0.1367,0.1690,0.2871,0.5098,1.5450,2.1025,2.9900,,
328,0.1104,0.1341,0.1660,0.2823,0.5015,1.5300,2.0850,2.9600,,
329,0.1082,0.1316,0.1630,0.2774,0.4933,1.5150,2.0675,2.9300,,
330,0.1060,0.1290,0.1600,0.2725,0.4850,1.5000,2.0500,2.9000,,
331,0.1038,0.1265,0.1570,0.2676,0.4768,1.4850,2.0325,2.8700,,
332,0.1016,0.1239,0.1540,0.2628,0.4685,1.4700,2.0150,2.8400,,
333,0.0994,0.1214,0.1510,0.2579,0.4603,1.4550,1.9975,2.8100,,
334,0.0972,0.1188,0.1480,0.2530,0.4520,1.4400,1.9800,2.7800,,
335,0.0950,0.1163,0.1450,0.2481,0.4438,1.4250,1.9625,2.7500,,
336,0.0928,0.1137,0.1420,0.2433,0.4355,1.4100,1.9450,2.7200,,
337,0.0906,0.1112,0.1390,0.2384,0.4273,1.3950,1.9275,2.6900,,
338,0.0884,0.1086,0.1360,0.2335,0.4190,1.3800,1.9100,2.6600,,
339,0.0862,0.1061,0.1330,0.2286,0.4108,1.3650,1.8925,2.6300,,
340,0.0840,0.1035,0.1300,0.2238,0.4025,1.3500,1.8750,2.6000,,
341,0.0818,0.1010,0.1270,0.2189,0.3943,1.3350,1.8575,2.5700,,
342,0.0796,0.0984,0.1240,0.2140,0.3860,1.3200,1.8400,2.5400,,
343,0.0774,0.0959,0.1210,0.2091,0.3778,1.3050,1.8225,2.5100,,
344,0.0752,0.0933,0.1180,0.2043,0.3695,1.2900,1.8050,2.4800,,
345,0.0730,0.0908,0.1150,0.1994,0.3613,1.2750,1.7875,2.4500,,
346,0.0708,0.0882,0.1120,0.1945,0.3530,1.2600,1.7700,2.4200,,
347,0.0686,0.0857,0.1090,0.1896,0.3448,1.2450,1.7525,2.3900,,
348,0.0664,0.0831,0.1060,0.1848,0.3365,1.2300,1.7350,2.3600,,
349,0.0642,0.0806,0.1030,0.1799,0.3283,1.2150,1.7175,2.3300,,
350,0.0620,0.0780,0.1000,0.1750,0.3200,1.2000,1.7000,2.3000,3.0000,3.9000
351,0.0610,0.0770,0.0986,0.1729,0.3160,1.1840,1.6760,2.2720,2.9640,3.8640
352,0.0601,0.0759,0.0973,0.1708,0.3120,1.1680,1.6520,2.2440,2.9280,3.8280
353,0.0591,0.0749,0.0959,0.1686,0.3080,1.1520,1.6280,2.2160,2.8920,3.7920
354,0.0582,0.0738,0.0946,0.1665,0.3040,1.1360,1.6040,2.1880,2.8560,3.7560
355,0.0572,0.0728,0.0932,0.1644,0.3000,1.1200,1.5800,2.1600,2.8200,3.7200
356,0.0562,0.0718,0.0918,0.1623,0.2960,1.1040,1.5560,2.1320,2.7840,3.6840
357,0.0553,0.0707,0.0905,0.1602,0.2920,1.0880,1.5320,2.1040,2.7480,3.6480
358,0.0543,0.0697,0.0891,0.1580,0.2880,1.0720,1.5080,2.0760,2.7120,3.6120
359,0.0534,0.0686,0.0878,0.1559,0.2840,1.0560,1.4840,2.0480,2.6760,3.5760
360,0.0524,0.0676,0.0864,0.1538,0.2800,1.0400,1.4600,2.0200,2.6400,3.5400
361,0.0514,0.0666,0.0850,0.1517,0.2760,1.0240,1.4360,1.9920,2.6040,3.5040
362,0.0505,0.0655,0.0837,0.1496,0.2720,1.0080,1.4120,1.9640,2.5680,3.4680
363,0.0495,0.0645,0.0823,0.1474,0.2680,0.9920,1.3880,1.9360,2.5320,3.4320
364,0.0486,0.0634,0.0810,0.1453,0.2640,0.9760,1.3640,1.9080,2.4960,3.3960
365,0.0476,0.0624,0.0796,0.1432,0.2600,0.9600,1.3400,1.8800,2.4600,3.3600
366,0.0466,0.0614,0.0782,0.1411,0.2560,0.9440,1.3160,1.8520,2.4240,3.3240
367,0.0457,0.0603,0.0769,0.1390,0.2520,0.9280,1.2920,1.8240,2.3880,3.2880
368,0.0447,0.0593,0.0755,0.1368,0.2480,0.9120,1.2680,1.7960,2.3520,3.2520
369,0.0438,0.0582,0.0742,0.1347,0.2440,0.8960,1.2440,1.7680,2.3160,3.2160
370,0.0428,0.0572,0.0728,0.1326,0.2400,0.8800,1.2200,1.7400,2.2800,3.1800
371,0.0418,0.0562,0.0714,0.1305,0.2360,0.8640,1.1960,1.7120,2.2440,3.1440
372,0.0409,0.0551,0.0701,0.1284,0.2320,0.8480,1.1720,1.6840,2.2080,3.1080
373,0.0399,0.0541,0.0687,0.1262,0.2280,0.8320,1.1480,1.6560,2.1720,3.0720
374,0.0390,0.0530,0.0674,0.1241,0.2240,0.8160,1.1240,1.6280,2.1360,3.0360
375,0.0380,0.0520,0.0660,0.1220,0.2200,0.8000,1.1000,1.6000,2.1000,3.0000
376,0.0376,0.0514,0.0654,0.1210,0.2186,0.7884,1.0872,1.5800,2.0800,2.9760
377,0.0372,0.0509,0.0648,0.1199,0.2172,0.7768,1.0744,1.5600,2.0600,2.9520
378,0.0368,0.0503,0.0642,0.1189,0.2158,0.7652,1.0616,1.5400,2.0400,2.9280
379,0.0364,0.0498,0.0636,0.1178,0.2144,0.7536,1.0488,1.5200,2.0200,2.9040
380,0.0360,0.0492,0.0630,0.1168,0.2130,0.7420,1.0360,1.5000,2.0000,2.8800
381,0.0356,0.0486,0.0624,0.1158,0.2116,0.7304,1.0232,1.4800,1.9800,2.8560
382,0.0352,0.0481,0.0618,0.1147,0.2102,0.7188,1.0104,1.4600,1.9600,2.8320
383,0.0348,0.0475,0.0612,0.1137,0.2088,0.7072,0.9976,1.4400,1.9400,2.8080
384,0.0344,0.0470,0.0606,0.1126,0.2074,0.6956,0.9848,1.4200,1.9200,2.7840
385,0.0340,0.0464,0.0600,0.1116,0.2060,0.6840,0.9720,1.4000,1.9000,2.7600
386,0.0336,0.0458,0.0594,0.1106,0.2046,0.6724,0.9592,1.3800,1.8800,2.7360
387,0.0332,0.0453,0.0588,0.1095,0.2032,0.6608,0.9464,1.3600,1.8600,2.7120
388,0.0328,0.0447,0.0582,0.1085,0.2018,0.6492,0.9336,1.3400,1.8400,2.6880
389,0.0324,0.0442,0.0576,0.1074,0.2004,0.6376,0.9208,1.3200,1.8200,2.6640
